Address,Latitude,Longitude,Name,Risk Category Improved,Violation Description Improved,Avg. Inspection Score,Avg. Rating
5 Embarcadero Ctr,37.79480938,-122.3956495,Sushi Kinta,High Risk,No hot water or running water,93,2.5
841 Irving St,37.76384,-122.46708,Sushi Kazu,Moderate Risk,Moderate risk food holding temperature,96,3.5
2598 Harrison St,37.75596727,-122.412432,Sushi Hon,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,86,4
2598 Harrison St,37.75596727,-122.412432,Sushi Hon,Low Risk,Permit license or inspection report not posted,81,4
215 Fremont St,37.78914,-122.3943,Sushi Fantastic,Low Risk,Improper or defective plumbing,77,3
215 Fremont St,37.78914,-122.3943,Sushi Fantastic,High Risk,Unclean or unsanitary food contact surfaces,91,3
215 Fremont St,37.78914,-122.3943,Sushi Fantastic,High Risk,Improper cooling methods,85,3
1946 Market St,37.77032,-122.42583,Sushi Delight,Low Risk,Food safety certificate or food handler card not available,80,3
431 Balboa St,37.77701,-122.4635,Sushi Bistro,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,86,4
505 Beach St,37.80678,-122.41756,Surisan,Low Risk,Improper food storage,96,4.5
950 Innes Ave,37.7327652,-122.3765335,Surfside Liquors,Low Risk,Unapproved or unmaintained equipment or utensils,92,5
845 Market St,37.784515,-122.406868,Sur La Table,Moderate Risk,Moderate risk food holding temperature,92,3.5
845 Market St,37.784515,-122.406868,Sur La Table,Low Risk,Unclean or degraded floors walls or ceilings,98,3.5
845 Market St,37.784515,-122.406868,Sur La Table,Low Risk,Permit license or inspection report not posted,98,3.5
845 Market St,37.784515,-122.406868,Sur La Table,Low Risk,Inadequate dressing rooms or improper storage of personal items,88,3.5
845 Market St,37.784515,-122.406868,Sur La Table,Low Risk,Improper storage use or identification of toxic substances,92,3.5
845 Market St,37.784515,-122.406868,Sur La Table,Low Risk,Improper or defective plumbing,81,3.5
845 Market St,37.784515,-122.406868,Sur La Table,Low Risk,Food safety certificate or food handler card not available,98,3.5
3348 18th St,37.7619213,-122.4182987,Supreme Pizza,Low Risk,Improper food storage,85,3.5
245 Jefferson St,37.80798277,-122.4165332,Supreme Crab,Moderate Risk,Inadequate and inaccessible handwashing facilities,89,3.5
525 Laguna St,37.77626038,-122.4263916,Suppenküche,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,83,4
901 Haight St,37.77105331,-122.4371872,Superette Market,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,86,3.5
2433 Noriega St,37.75350745,-122.489974,Superb Garden Grocery,Low Risk,Low risk vermin infestation,98,4
4517 3rd St,37.736669,-122.389794,Super Save Supermarket,Low Risk,Unclean nonfood contact surfaces,96,3.5
4517 3rd St,37.736669,-122.389794,Super Save Supermarket,Low Risk,Unapproved or unmaintained equipment or utensils,98,3.5
5344 Geary Blvd,37.780695,-122.4768301,Super Pan,Low Risk,Improper storage of equipment utensils or linens,88,4
1790 Sutter St,37.78673,-122.42978,Super Mira Market,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,94,4
1790 Sutter St,37.78673,-122.42978,Super Mira Market,Low Risk,Unclean nonfood contact surfaces,90,4
2304 Market St,37.7640301,-122.433699,Super Duper Burgers,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,81,4
2304 Market St,37.7640301,-122.433699,Super Duper Burgers,Low Risk,Improper or defective plumbing,81,4
783 Mission St,37.7847869,-122.4035214,Super Duper Burgers,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,81,4
783 Mission St,37.7847869,-122.4035214,Super Duper Burgers,Low Risk,Improper or defective plumbing,81,4
1330 Ocean Ave,37.72429542,-122.4570445,Super Cue Cafe,Low Risk,Unclean or degraded floors walls or ceilings,92,3.5
1330 Ocean Ave,37.72429542,-122.4570445,Super Cue Cafe,Low Risk,Permit license or inspection report not posted,87,3.5
1139 Taraval St,37.74276,-122.47856,Super Cue Cafe,Low Risk,Unclean or degraded floors walls or ceilings,92,3.5
2884 Geary Blvd,37.78237,-122.44986,Sunstream Coffee,Low Risk,Permit license or inspection report not posted,88,4
2668 San Bruno Ave,37.72787,-122.40399,Sunshine Wheat Field Dim Sum,High Risk,High risk food holding temperature,79,4
3060 Taraval St,37.74227,-122.49901,Sunset's Best Seafood Restaurant,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,75,3.5
1360 9th Ave,37.762947,-122.466046,Sunset Shabu,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,90,4
1735 Noriega St,37.75384015,-122.4824641,Sunset Reservoir Brewing Company,Low Risk,Unclean or degraded floors walls or ceilings,71,3.5
1410 9th Ave,37.76182412,-122.4659924,Sunset Bakery,Moderate Risk,Moderate risk food holding temperature,96,4
688 Haight St,37.77196121,-122.4335403,Sunrise Market,Low Risk,Unclean or degraded floors walls or ceilings,87,4
2115 Irving St,37.76336722,-122.4806231,Sunrise Deli,No Risk,No violation found,100,4
2115 Irving St,37.76336722,-122.4806231,Sunrise Deli,High Risk,High risk vermin infestation,85,4
1101 Stanyan St,37.76435089,-122.4527969,Sunny Country Foods,No Risk,No violation found,100,4
288 Connecticut St,37.76262,-122.39777,Sunflower Vietnamese Restaurant,Moderate Risk,Moderate risk vermin infestation,83,3.5
1368 9th Ave,37.76281,-122.46589,Sunflower Garden,Moderate Risk,Moderate risk vermin infestation,85,4
284 O'Farrell St,37.7863892,-122.4094061,Sunflower Cafe,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,88,2.5
1205 Stockton St,37.79687472,-122.4085019,Sun Sang Market,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,79,3.5
3126 24th St,37.75259,-122.41469,Sun Rise Restaurant,Moderate Risk,Moderate risk food holding temperature,92,4
2034 Irving St,37.7636899,-122.47986,Sun Maxim's Bakery,Low Risk,Improper food storage,88,3.5
2687 Mission St,37.75411606,-122.4182663,Sun Fat Seafood Company,Moderate Risk,Inadequate and inaccessible handwashing facilities,94,4.5
420 Judah St,37.76231,-122.46656,Sumo,High Risk,High risk vermin infestation,73,3.5
3915 24th St,37.75129,-122.43003,Sultan's Kebab,Low Risk,Permit license or inspection report not posted,85,4
1449 Lombard St,37.80087,-122.42541,Sugarhill Kitchen,Low Risk,Inadequate HACCP plan record keeping,85,4
6903 Geary Blvd,37.77937,-122.49361,Sugarcane SF,Moderate Risk,Inadequate and inaccessible handwashing facilities,90,4
377 Hayes St,37.776842,-122.4225268,Sugar Lounge,Moderate Risk,Foods not protected from contamination,96,3.5
3699 17th St,37.7627551,-122.4282855,Suchada Thai Massage,Moderate Risk,Foods not protected from contamination,94,4
2375 Market St,37.762936,-122.4344113,Subway,Moderate Risk,Moderate risk vermin infestation,89,2.5
2375 Market St,37.762936,-122.4344113,Subway,Moderate Risk,Moderate risk food holding temperature,90,2.5
2375 Market St,37.762936,-122.4344113,Subway,Low Risk,Inadequate warewashing facilities or equipment,86,2.5
2375 Market St,37.762936,-122.4344113,Subway,Low Risk,Food safety certificate or food handler card not available,94,2.5
750 Font Blvd,37.72315802,-122.4822406,Subway,No Risk,No violation found,100,2.5
750 Font Blvd,37.72315802,-122.4822406,Subway,Moderate Risk,Moderate risk food holding temperature,90,2.5
750 Font Blvd,37.72315802,-122.4822406,Subway,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,92,2.5
750 Font Blvd,37.72315802,-122.4822406,Subway,Low Risk,Inadequate warewashing facilities or equipment,86,2.5
750 Font Blvd,37.72315802,-122.4822406,Subway,Low Risk,Food safety certificate or food handler card not available,94,2.5
77 Van Ness Ave,37.77598957,-122.4197466,Subway,Moderate Risk,Moderate risk food holding temperature,90,3
77 Van Ness Ave,37.77598957,-122.4197466,Subway,Low Risk,Inadequate warewashing facilities or equipment,86,3
77 Van Ness Ave,37.77598957,-122.4197466,Subway,Low Risk,Food safety certificate or food handler card not available,94,3
1300 Castro St,37.75118358,-122.4342601,Subs,Low Risk,Unclean nonfood contact surfaces,84,4
820 Ulloa St,37.7409,-122.46532,Submarine Center,Moderate Risk,Moderate risk food holding temperature,96,4.5
1607 Haight St,37.76961052,-122.4489016,Street Taco,Moderate Risk,Moderate risk vermin infestation,86,4
1607 Haight St,37.76961052,-122.4489016,Street Taco,Low Risk,Permit license or inspection report not posted,83,4
2141 Polk St,37.7964394,-122.4220352,Street Restaurant and Bar,Moderate Risk,Noncompliance with HAACP plan or variance,86,4
2380 San Bruno Ave,37.79743054,-122.4321556,Street Meet Taco Truck,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,86,4.5
1217 Geneva Ave,37.71426,-122.43567,Stop N Wrap,Moderate Risk,Moderate risk food holding temperature,84,4
561 Valencia St,37.76401,-122.4215,Stonemill Matcha,No Risk,No violation found,100,4
4 Embarcadero Ctr,37.7954346,-122.3959338,Stone Korean Kitchen,Low Risk,Improper storage of equipment utensils or linens,75,3
1353 Taraval St,37.742616,-122.4809192,Stix,Moderate Risk,Inadequate and inaccessible handwashing facilities,90,4.5
499 Illinois St,37.7659063,-122.3874446,Stem Kitchen & Garden,Low Risk,Inadequate warewashing facilities or equipment,96,3.5
446 Columbus Ave,37.79918,-122.40828,Stella Pastry & Cafe,Low Risk,Permit license or inspection report not posted,94,4
731 Clement St,37.78268,-122.46715,Steins,High Risk,Unclean or unsanitary food contact surfaces,83,4
270 Brannan St,37.782641,-122.391335,STEEP Creamery & Tea,Moderate Risk,Moderate risk food holding temperature,92,4
240 Ritch St,37.78033457,-122.3957827,STEEP Creamery & Tea,Moderate Risk,Moderate risk food holding temperature,92,4
240 Ritch St,37.78033457,-122.3957827,STEEP Creamery & Tea,Low Risk,Unclean unmaintained or improperly constructed toilet facilities,92,4
827 Sacramento St,37.79326044,-122.4067625,Steap Tea Bar,Low Risk,Improper or defective plumbing,92,4.5
1600 Holloway Ave,37.721606,-122.4755998,Station Cafe,No Risk,No violation found,100,3.5
1600 Holloway Ave,37.721606,-122.4755998,Station Cafe,Moderate Risk,Insufficient hot water or running water,96,3.5
1600 Holloway Ave,37.721606,-122.4755998,Station Cafe,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98,3.5
1529 Fillmore St,37.78374,-122.433005,State Bird Provisions,Low Risk,Improper food storage,96,4
1071 Howard St,37.7784066,-122.408583,Starco Mart,Moderate Risk,Foods not protected from contamination,96,3.5
4094 18th St,37.761019,-122.434666,Starbucks,No Risk,No violation found,100,3.5
4094 18th St,37.761019,-122.434666,Starbucks,Moderate Risk,Inadequate and inaccessible handwashing facilities,96,3.5
4094 18th St,37.761019,-122.434666,Starbucks,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,97,3.5
4094 18th St,37.761019,-122.434666,Starbucks,Low Risk,Unclean or degraded floors walls or ceilings,96.66666667,3.5
4094 18th St,37.761019,-122.434666,Starbucks,Low Risk,Unapproved or unmaintained equipment or utensils,96,3.5
4094 18th St,37.761019,-122.434666,Starbucks,Low Risk,Permit license or inspection report not posted,88,3.5
4094 18th St,37.761019,-122.434666,Starbucks,Low Risk,No thermometers or uncalibrated thermometers,90,3.5
4094 18th St,37.761019,-122.434666,Starbucks,Low Risk,Inadequate warewashing facilities or equipment,98,3.5
4094 18th St,37.761019,-122.434666,Starbucks,High Risk,Unclean or unsanitary food contact surfaces,93,3.5
3595 California St,37.786261,-122.453194,Starbucks,No Risk,No violation found,100,3.5
3595 California St,37.786261,-122.453194,Starbucks,Moderate Risk,Inadequate and inaccessible handwashing facilities,96,3.5
3595 California St,37.786261,-122.453194,Starbucks,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98,3.5
3595 California St,37.786261,-122.453194,Starbucks,Low Risk,Unclean or degraded floors walls or ceilings,96.66666667,3.5
3595 California St,37.786261,-122.453194,Starbucks,Low Risk,Unapproved or unmaintained equipment or utensils,96,3.5
3595 California St,37.786261,-122.453194,Starbucks,Low Risk,Permit license or inspection report not posted,88,3.5
3595 California St,37.786261,-122.453194,Starbucks,Low Risk,No thermometers or uncalibrated thermometers,90,3.5
3595 California St,37.786261,-122.453194,Starbucks,Low Risk,Inadequate warewashing facilities or equipment,98,3.5
3595 California St,37.786261,-122.453194,Starbucks,High Risk,Unclean or unsanitary food contact surfaces,93,3.5
350 Parnassus St,37.76414182,-122.456377,Starbucks,No Risk,No violation found,100,3.5
350 Parnassus St,37.76414182,-122.456377,Starbucks,Moderate Risk,Inadequate and inaccessible handwashing facilities,96,3.5
350 Parnassus St,37.76414182,-122.456377,Starbucks,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98,3.5
350 Parnassus St,37.76414182,-122.456377,Starbucks,Low Risk,Unclean or degraded floors walls or ceilings,96.66666667,3.5
350 Parnassus St,37.76414182,-122.456377,Starbucks,Low Risk,Unapproved or unmaintained equipment or utensils,96,3.5
350 Parnassus St,37.76414182,-122.456377,Starbucks,Low Risk,Permit license or inspection report not posted,88,3.5
350 Parnassus St,37.76414182,-122.456377,Starbucks,Low Risk,No thermometers or uncalibrated thermometers,90,3.5
350 Parnassus St,37.76414182,-122.456377,Starbucks,Low Risk,Inadequate warewashing facilities or equipment,98,3.5
350 Parnassus St,37.76414182,-122.456377,Starbucks,High Risk,Unclean or unsanitary food contact surfaces,93,3.5
3583 16th St,37.7640744,-122.4325634,Starbelly,Low Risk,Improper storage of equipment utensils or linens,90,4
3721 Geary Blvd,37.78093,-122.45935,Star India Restaurant,High Risk,Improper cooling methods,85,3.5
1475 Polk St,37.79028,-122.4209,Star Bagel,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,92,3.5
1475 Polk St,37.79028,-122.4209,Star Bagel,Moderate Risk,Foods not protected from contamination,96,3.5
1475 Polk St,37.79028,-122.4209,Star Bagel,Low Risk,Inadequate dressing rooms or improper storage of personal items,92,3.5
3126 16th St,37.7648968,-122.4225344,Stanza Coffee,Moderate Risk,Moderate risk vermin infestation,89,4
Post And Stockton St,37.78877838,-122.407124,Stanley's Steamers,No Risk,No violation found,100,3.5
501 Hayes St,37.77651707,-122.4247906,Stacks,Moderate Risk,Improper thawing methods,90,3.5
2128 Folsom St,37.76323816,-122.4153106,Stable Cafe,Moderate Risk,Insufficient hot water or running water,96,4
2801 24th St,37.7527199,-122.40834,St. Francis Fountain,High Risk,Improper cooling methods,87,4
4621 Lincoln Way,37.76383,-122.50778,Sri Thai,Moderate Risk,Employee eating or smoking,81,4
3015 Geary Blvd,37.7819297,-122.4512143,SQwers Izakaya & Sushi Bar,Low Risk,Improper food storage,86,4
3600 16th St,37.76439,-122.4334,Squat and Gobble Cafe & Crepery,Moderate Risk,Foods not protected from contamination,94,3.5
,37.7852883,-122.3082256,Spunbyss,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98,4.5
3640 Sacramento St,37.787621,-122.452734,Spruce,Low Risk,Improper food storage,92,4
51 Cambon Dr,37.71791605,-122.4740374,Spressa Coffee Bar,No Risk,No violation found,100,3
1911 Fillmore St,37.78725,-122.43376,SPQR,Moderate Risk,Other moderate risk violation,92,3.5
2300 Polk St,37.79798,-122.42195,Split,Moderate Risk,Foods not protected from contamination,96,3.5
1401 Polk St,37.78970188,-122.4206432,Spinnerie,Moderate Risk,Moderate risk food holding temperature,96,3.5
690 Folsom St,37.7841835,-122.3989639,SPIN - San Francisco,Low Risk,Improper or defective plumbing,92,4
4117 19th St,37.75916,-122.43503,Spike's Coffees & Teas,No Risk,No violation found,100,4.5
3809 Geary Blvd,37.78089,-122.46024,Spicy Queen,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,90,4
996 Mission St,37.7812167,-122.4086199,Spicy Garden,Low Risk,Unclean nonfood contact surfaces,94,3.5
432 Sutter St,37.78956374,-122.4076718,Spice Kitchen,Low Risk,Improper storage of equipment utensils or linens,96,3.5
405 Howard St,37.78848695,-122.3955111,Spice Kit,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,81,3.5
405 Howard St,37.78848695,-122.3955111,Spice Kit,Low Risk,Unclean or degraded floors walls or ceilings,98,3.5
1 Post St,37.78878021,-122.4025726,Specialty's Café & Bakery,Moderate Risk,Insufficient hot water or running water,90,3.5
1 Post St,37.78878021,-122.4025726,Specialty's Café & Bakery,Low Risk,Improper storage of equipment utensils or linens,92,3.5
1640 Haight St,37.7698139,-122.4492986,Sparrow Bar and Kitchen,High Risk,High risk vermin infestation,78,3.5
601 Mission Bay Blvd N,37.770766,-122.391694,SPARK Social SF,Moderate Risk,Moderate risk food holding temperature,96,4.5
2272 Chestnut St,37.80038,-122.44092,Souvla,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,94,4
2272 Chestnut St,37.80038,-122.44092,Souvla,Low Risk,Unapproved or unmaintained equipment or utensils,91,4
517 Hayes St,37.77643,-122.425,Souvla,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,94.66666667,4
517 Hayes St,37.77643,-122.425,Souvla,Low Risk,Unapproved or unmaintained equipment or utensils,91,4
575 Howard St,37.7871675,-122.3975128,Southside Spirit House,Low Risk,Worker safety hazards,88,4
620 Treat Ave,37.760103,-122.414232,Southern Pacific Brewing,Low Risk,Unapproved or unmaintained equipment or utensils,85,3
108 S Park St,37.78167,-122.39445,South Park Cafe,No Risk,No violation found,100,4
800 Embarcadero,37.78174131,-122.3886132,South Beach Cafe,Low Risk,Low risk vermin infestation,92,3.5
1565 Kirkwood Ave,37.7374685,-122.3891828,Sour Flour,Moderate Risk,Foods not protected from contamination,92,4.5
552 Green St,37.79979,-122.40834,Sotto Mare Oysteria & Seafood,Low Risk,Unapproved or unmaintained equipment or utensils,90,4.5
3228 Sacramento St,37.788563,-122.446188,Sorrel,Moderate Risk,Inadequate and inaccessible handwashing facilities,90,4
1581 Webster St,37.785048,-122.432093,Sophie's Crepes,Low Risk,Low risk vermin infestation,98,4
3801 3rd St,37.74158,-122.38765,Soo Fong Restaurant,Moderate Risk,Inadequate and inaccessible handwashing facilities,75,3.5
708 Bush St,37.7902634,-122.4090557,Sons & Daughters,Low Risk,Unapproved or unmaintained equipment or utensils,92,4
2990 24th St,37.75276119,-122.4117563,Son's Addition,No Risk,No violation found,100,4
689 Folsom St,37.7838266,-122.3986538,Soma Wine And Spirits II,Moderate Risk,Inadequate and inaccessible handwashing facilities,92,3.5
764 Harrison St,37.78165,-122.39911,Soma Sushi,Moderate Risk,Inadequate and inaccessible handwashing facilities,75,4
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,No Risk,No violation found,100,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,Moderate Risk,Reservice of previously served foods,96,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,Moderate Risk,Moderate risk food holding temperature,96,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,88,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,Moderate Risk,Inadequate and inaccessible handwashing facilities,96,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,88.66666667,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,Low Risk,Unclean nonfood contact surfaces,91,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,Low Risk,Permit license or inspection report not posted,91.75,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,Low Risk,Other low risk violation,87,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,Low Risk,Low risk vermin infestation,96,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,Low Risk,Improper storage of equipment utensils or linens,85,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,Low Risk,Food safety certificate or food handler card not available,96,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,High Risk,Sewage or wastewater contamination,93,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,High Risk,No hot water or running water,74.5,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,High Risk,Mobile food facility not operating with an approved commissary,90,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,High Risk,Improper cooling methods,84.5,4.5
428 11th St,37.76985,-122.41175,SoMa StrEat Food Park,High Risk,High risk food holding temperature,91,4.5
483 3rd St,37.78164057,-122.3960251,Soma Pizza,Moderate Risk,Moderate risk vermin infestation,81,3.5
186 2nd St,37.7868576,-122.3985748,SOMA Eats,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,89,4
510 Green St,37.79981,-122.40763,Sodini's Green Valley Restaurant,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,86,4
3665 Sacramento St,37.78714,-122.45294,Sociale,Moderate Risk,Foods not protected from contamination,90,4
1326 9th Ave,37.76349,-122.46594,Social Kitchen & Brewery,Moderate Risk,Moderate risk food holding temperature,90,3.5
4 Embarcadero Ctr,37.79503,-122.39606,Snowflake Treats,No Risk,No violation found,100,5
1352 A 9th Ave,37.76308,-122.46591,Snowbird Coffee,Moderate Risk,Inadequate and inaccessible handwashing facilities,94,4
1181 Ocean Ave,37.7234987,-122.4548544,Sno-Crave Tea House SF,Low Risk,Unclean unmaintained or improperly constructed toilet facilities,92,3.5
644 Persia Ave,37.72035217,-122.430687,Snack & Bottle Shop,Low Risk,Unapproved or unmaintained equipment or utensils,92,3.5
650 Gough St,37.77945,-122.42327,Smuggler's Cove,Low Risk,Low risk vermin infestation,91,4
1465 Carroll Ave,37.72328,-122.39091,Smokin' Warehouse Barbecue,High Risk,Improper cooling methods,89,4
904 Valencia St,37.7582847,-122.4214019,Smitten Ice Cream,Moderate Risk,Inadequate and inaccessible handwashing facilities,88,3.5
904 Valencia St,37.7582847,-122.4214019,Smitten Ice Cream,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98,3.5
904 Valencia St,37.7582847,-122.4214019,Smitten Ice Cream,Low Risk,Unclean or degraded floors walls or ceilings,98,3.5
904 Valencia St,37.7582847,-122.4214019,Smitten Ice Cream,High Risk,Unclean or unsanitary food contact surfaces,93,3.5
2619 Mission St,37.75502014,-122.4183502,Smile BBQ,Low Risk,Unapproved or unmaintained equipment or utensils,92,3.5
522 2nd St,37.78264,-122.3935,Small Foods,High Risk,Unclean or unsanitary food contact surfaces,71,3.5
710 Commercial St,37.79402373,-122.4050928,Slurp Ramen,Moderate Risk,Moderate risk food holding temperature,92,4
469 Castro St,37.76149,-122.43469,Slurp Noodle Bar,Moderate Risk,Moderate risk vermin infestation,78,3.5
422 Larkin St,37.78171007,-122.4170643,Slingshot,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,92,4
333 11th St,37.771492,-122.4132385,Slim's,Moderate Risk,Moderate risk vermin infestation,86,3.5
1202 Sutter St,37.78784866,-122.4202847,Sliders Diner,Low Risk,Food safety certificate or food handler card not available,91,4
330 Townsend St,37.776735,-122.39579,Slices,Low Risk,Unclean or degraded floors walls or ceilings,94,4.5
1535 Haight St,37.76963,-122.44754,Slice House Haight by Tony Gemignani,Moderate Risk,Inadequate procedures or records for time as a public health control,92,4
1725 Alameda St,37.7685097,-122.4021363,Skool,Moderate Risk,Foods not protected from contamination,92,4
139 8th St,37.77722,-122.41251,Sizzling Pot King,Moderate Risk,Moderate risk vermin infestation,70,3.5
1544 15th St,37.766993,-122.4187162,Sixth Course,No Risk,No violation found,100,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,No Risk,No violation found,100,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,Moderate Risk,Reservice of previously served foods,96,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,Moderate Risk,Moderate risk food holding temperature,96,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,88,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,Moderate Risk,Inadequate and inaccessible handwashing facilities,96,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,88.66666667,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,Low Risk,Unclean nonfood contact surfaces,91,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,Low Risk,Permit license or inspection report not posted,91.75,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,Low Risk,Other low risk violation,87,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,Low Risk,Low risk vermin infestation,96,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,Low Risk,Improper storage of equipment utensils or linens,85,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,Low Risk,Food safety certificate or food handler card not available,96,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,High Risk,Sewage or wastewater contamination,93,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,High Risk,No hot water or running water,74.5,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,High Risk,Mobile food facility not operating with an approved commissary,90,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,High Risk,Improper cooling methods,84.5,4.5
428 11th St,37.76985,-122.41175,SipNSlurp Food Truck,High Risk,High risk food holding temperature,91,4.5
721 Lincoln Way,37.76568,-122.4658,Sip Tea Room,No Risk,No violation found,100,4.5
322 Kearny St,37.791196,-122.403911,SINI,Moderate Risk,Moderate risk food holding temperature,77,4
309 Hyde St,37.78382,-122.41616,Sing Sing Sandwich Shop,Low Risk,No thermometers or uncalibrated thermometers,90,4
5668 3rd St,37.72681,-122.39413,Simply Delish,Moderate Risk,Moderate risk food holding temperature,92,4.5
2620 Ocean Ave,37.73206,-122.47348,Simple Tea House,Low Risk,Permit license or inspection report not posted,98,4.5
3434 Balboa St,37.7759774,-122.495829,Simple Pleasures Cafe,Moderate Risk,Moderate risk food holding temperature,83,3.5
1055 Taraval St,37.74276,-122.47759,Simmer,High Risk,Contaminated or adulterated food,80,4
3278 24th St,37.752483,-122.417984,Silverstone Cafe,Moderate Risk,Moderate risk food holding temperature,88,3
340 Bayshore Blvd,37.74232791,-122.4061639,Silver Crest Donut Shop,Low Risk,Unapproved or unmaintained equipment or utensils,84,3
1994 Lombard St,37.8001417,-122.4342261,Silver Cloud Restaurant and Karaoke Bar,Low Risk,Unapproved or unmaintained equipment or utensils,92,3
4300 Mission St,37.72865,-122.43157,Silver Cafe,Low Risk,Unapproved or unmaintained equipment or utensils,92,4
3251 20th Ave,37.727893,-122.476854,Silk Road,No Risk,No violation found,100,4.5
3251 20th Ave,37.727893,-122.476854,Silk Road,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,84,4.5
3251 20th Ave,37.727893,-122.476854,Silk Road,Moderate Risk,Inadequate and inaccessible handwashing facilities,88.33333333,4.5
3251 20th Ave,37.727893,-122.476854,Silk Road,Moderate Risk,Foods not protected from contamination,93,4.5
3251 20th Ave,37.727893,-122.476854,Silk Road,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,94,4.5
3251 20th Ave,37.727893,-122.476854,Silk Road,Low Risk,Unclean or degraded floors walls or ceilings,69,4.5
270 Seventh St,37.77696,-122.40851,Sightglass Coffee,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,94,4
270 Seventh St,37.77696,-122.40851,Sightglass Coffee,Low Risk,Unapproved or unmaintained equipment or utensils,98,4
270 Seventh St,37.77696,-122.40851,Sightglass Coffee,Low Risk,Improper or defective plumbing,90,4
2411 California St,37.7887276,-122.4341257,Sift Dessert Bar,Low Risk,Unclean or degraded floors walls or ceilings,96,4
3287 21st St,37.75679,-122.4208,Sidewalk Juice,Moderate Risk,Insufficient hot water or running water,86,4
3287 21st St,37.75679,-122.4208,Sidewalk Juice,Low Risk,Food safety certificate or food handler card not available,94,4
